libarrow_glib;garrow_aggregate_node_options_new;;libarrow-glib-auto.f90;/usr/include/arrow-glib/compute.h;"GArrowAggregateNodeOptions * garrow_aggregate_node_options_new(GList *aggregations, const gchar **keys, gsize n_keys, GError **error);";function garrow_aggregate_node_options_new(aggregations, keys, n_keys, error) bind(c)
libarrow_glib;garrow_aggregation_new;;libarrow-glib-auto.f90;/usr/include/arrow-glib/compute.h;"GArrowAggregation * garrow_aggregation_new(const gchar *function, GArrowFunctionOptions *options, const gchar *input, const gchar *output);";function garrow_aggregation_new(function, options, input, output) bind(c)
libarrow_glib;garrow_array_builder_append_empty_value;GARROW_AVAILABLE_IN_3_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gboolean garrow_array_builder_append_empty_value(GArrowArrayBuilder *builder, GError **error);";function garrow_array_builder_append_empty_value(builder, error) bind(c)
libarrow_glib;garrow_array_builder_append_empty_values;GARROW_AVAILABLE_IN_3_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gboolean garrow_array_builder_append_empty_values(GArrowArrayBuilder *builder, gint64 n, GError **error);";function garrow_array_builder_append_empty_values(builder, n, error) bind(c)
libarrow_glib;garrow_array_builder_append_null;GARROW_AVAILABLE_IN_3_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gboolean garrow_array_builder_append_null(GArrowArrayBuilder *builder, GError **error);";function garrow_array_builder_append_null(builder, error) bind(c)
libarrow_glib;garrow_array_builder_append_nulls;GARROW_AVAILABLE_IN_3_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gboolean garrow_array_builder_append_nulls(GArrowArrayBuilder *builder, gint64 n, GError **error);";function garrow_array_builder_append_nulls(builder, n, error) bind(c)
libarrow_glib;garrow_array_builder_finish;;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"GArrowArray *garrow_array_builder_finish(GArrowArrayBuilder *builder, GError **error);";function garrow_array_builder_finish(builder, error) bind(c)
libarrow_glib;garrow_array_builder_get_capacity;GARROW_AVAILABLE_IN_2_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gint64 garrow_array_builder_get_capacity(GArrowArrayBuilder *builder);";function garrow_array_builder_get_capacity(builder) bind(c)
libarrow_glib;garrow_array_builder_get_length;GARROW_AVAILABLE_IN_2_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gint64 garrow_array_builder_get_length(GArrowArrayBuilder *builder);";function garrow_array_builder_get_length(builder) bind(c)
libarrow_glib;garrow_array_builder_get_n_nulls;GARROW_AVAILABLE_IN_2_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gint64 garrow_array_builder_get_n_nulls(GArrowArrayBuilder *builder);";function garrow_array_builder_get_n_nulls(builder) bind(c)
libarrow_glib;garrow_array_builder_get_value_data_type;;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"GArrowDataType * garrow_array_builder_get_value_data_type(GArrowArrayBuilder *builder);";function garrow_array_builder_get_value_data_type(builder) bind(c)
libarrow_glib;garrow_array_builder_get_value_type;;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"GArrowType garrow_array_builder_get_value_type(GArrowArrayBuilder *builder);";function garrow_array_builder_get_value_type(builder) bind(c)
libarrow_glib;garrow_array_builder_release_ownership;;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"void garrow_array_builder_release_ownership(GArrowArrayBuilder *builder);";subroutine garrow_array_builder_release_ownership(builder) bind(c)
libarrow_glib;garrow_array_builder_reserve;GARROW_AVAILABLE_IN_2_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gboolean garrow_array_builder_reserve(GArrowArrayBuilder *builder, gint64 additional_capacity, GError **error);";function garrow_array_builder_reserve(builder, additional_capacity, error) bind(c)
libarrow_glib;garrow_array_builder_reset;GARROW_AVAILABLE_IN_2_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"void garrow_array_builder_reset(GArrowArrayBuilder *builder);";subroutine garrow_array_builder_reset(builder) bind(c)
libarrow_glib;garrow_array_builder_resize;GARROW_AVAILABLE_IN_2_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/array-builder.h;"gboolean garrow_array_builder_resize(GArrowArrayBuilder *builder, gint64 capacity, GError **error);";function garrow_array_builder_resize(builder, capacity, error) bind(c)
libarrow_glib;garrow_array_cast;;libarrow-glib-auto.f90;/usr/include/arrow-glib/compute.h;"GArrowArray *garrow_array_cast(GArrowArray *array, GArrowDataType *target_data_type, GArrowCastOptions *options, GError **error);";function garrow_array_cast(array, target_data_type, options, error) bind(c)
libarrow_glib;garrow_array_concatenate;GARROW_AVAILABLE_IN_4_0;libarrow-glib-auto.f90;/usr/include/arrow-glib/basic-array.h;"GArrowArray *garrow_array_concatenate(GArrowArray *array, GList *other_arrays, GError **error);";function garrow_array_concatenate(array, other_arrays, error) bind(c)
libarrow_glib;garrow_array_count;GARROW_AVAILABLE_IN_0_13;libarrow-glib-auto.f90;/usr/include/arrow-glib/compute.h;"gint64 garrow_array_count(GArrowArray *array, GArrowCountOptions *options, GError **error);";function garrow_array_count(array, options, error) bind(c)
libarrow_glib;garrow_array_count_values;GARROW_AVAILABLE_IN_0_13;libarrow-glib-auto.f90;/usr/include/arrow-glib/compute.h;"GArrowStructArray *garrow_array_count_values(GArrowArray *array, GError **error);";function garrow_array_count_values(array, error) bind(c)
